                                                          VoiceForge — Weekly Build Schedule                                                                                                                                                                  Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8 Unnamed: 9
Plan your weekly hours · Each cell = hours you'll work on that day · Adjust to your own pace                                                                                                                                                                         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
                                                                                         NaN                                                                                                                                                                         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
                                                                                         NaN                                                                                                                                                                Phase / Task        Mon        Tue        Wed        Thu        Fri        Sat        Sun  Total Hrs
                                                                                         NaN                                                                                                                                                 Phase 1 — Orpheus GPU Setup          1          1          1          1        0.5          2          1        NaN
                                                                                         NaN                                                                                                                                                   Phase 2 — FastAPI Wrapper          2          2          2          2          2          3          3        NaN
                                                                                         NaN                                                                                                                                                   Phase 3 — Express Backend          2          2          2          2          2          3          2        NaN
                                                                                         NaN                                                                                                                                                  Phase 4 — Next.js Frontend          2          2          2          2          2          3          2        NaN
                                                                                         NaN                                                                                                                                                  Phase 5 — Integration & QA        1.5        1.5        1.5        1.5        1.5        2.5          2        NaN
                                                                                         NaN                                                                                                                                                        Phase 6 — Deployment        1.5        1.5        1.5        1.5          1          2        1.5        NaN
                                                                                         NaN                                                                                                                                                           TOTAL HOURS / DAY        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
                                                                                         NaN                                                                                                                                                                         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
                                                                                         NaN Tips: Phase 1 is mostly complete — you already have Orpheus running with emotion tags. Phase 2 (FastAPI wrapper) is the next big task. Total ~105hrs ≈ 4-5 weeks part-time.        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
