VoiceForge — Build Roadmap & Task Tracker,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Mark status per task · Enter actual hours · Dashboard auto-updates,,,,,,,
,Task,Description,Est. Hours,Status,Actual Hrs,✓,Notes
  Phase 1 — Local GPU Setup (Orpheus TTS),,,,,,,
,Verify CUDA + drivers,nvidia-smi → RTX 5070 Ti + CUDA 13.1 confirmed ✓,0.5,Done,,,
,Install PyTorch cu128,pip install torch==2.8.0+cu128 torchaudio torchvision --index-url cu128 ✓,0.5,Done,,,
,Verify PyTorch sees GPU,python -c 'import torch; print(torch.cuda.is_available())' → True ✓,0.5,Done,,,
,Install LM Studio,"Download from lmstudio.ai, install on Windows ✓",0.5,Done,,,
,Download Orpheus Q4_K_M GGUF model,"Search orpheus-3b-0.1-ft in LM Studio, download isaiahbjork Q4_K_M (~2GB) ✓",1,Done,,,
,Start LM Studio local server,Toggle server ON in Developer tab → port 1234 ✓,0.5,Done,,,
,Clone orpheus-tts-local repo,git clone https://github.com/isaiahbjork/orpheus-tts-local ✓,0.5,Done,,,
,Install repo dependencies,pip install torch numpy sounddevice requests snac ✓,0.5,Done,,,
,Run example.py — basic TTS test,python example.py → Tara + Leo voices generated ✓,0.5,Done,,,
,Test emotion tags,<laugh> <sigh> <whisper> <chuckle> <gasp> all working ✓,0.5,Done,,,
,Listen and verify audio quality,Verify voices sound natural and emotions render correctly ✓,0.5,Done,,,
,Install faster-whisper for STT,"pip install faster-whisper, test transcription on wav file",1,Done,,,
,Test STT on generated audio,"Transcribe Orpheus output, verify accuracy",0.5,Done,,,
,VRAM check,nvidia-smi during generation → verify under 12GB limit,0.5,Done,,,
,,,,,,,
  Phase 2 — FastAPI Wrapper (Orpheus Bridge),,,,,,,
,Understand LM Studio API structure,LM Studio exposes OpenAI-compatible API at localhost:1234,0.5,Done,,,
,Install FastAPI + uvicorn,pip install fastapi uvicorn python-multipart soundfile,0.5,Done,,,
,Build /tts endpoint,POST text+voice → calls LM Studio:1234 → decodes SNAC tokens → returns .wav,2.5,Done,,,
,Integrate SNAC decoder,pip install snac → decode Orpheus token output into audio waveform,1.5,Done,,,
,Build /tts/voices endpoint,GET /voices → returns list of 8 available Orpheus voices,0.5,Done,,,
,Build /stt endpoint,POST audio file → faster-whisper transcribes → returns JSON transcript,1.5,Done,,,
,Add emotion tag validator,"Whitelist valid tags: laugh,sigh,whisper,chuckle,gasp,cough,groan,yawn",1,Done,,,
,Add API key auth middleware,Validate Bearer token on all routes before processing,1,Done,1,,
,Add char count + credit deduction,Count input chars → call Express credit API → deduct before generating,1,Done,1,,
,Stream audio response to client,"Pipe generated wav bytes directly to response, set audio/wav header",1.5,Done,1,,
,Test all endpoints via Postman,"TTS → STT → voices → verify auth, credits, audio quality",1.5,Done,1,,
,Expose via ngrok for frontend dev,ngrok http 8000 → public URL for Next.js frontend testing,0.5,Done,1,,
,Write Dockerfile for production,Orpheus GGUF + faster-whisper + FastAPI in one Linux image,2,Done,1,,
,Test Docker image locally,docker build + run → verify same behavior as local server,1,Done,1,,
,Document all API routes,"Write endpoint docs: params, responses, error codes",1,Done,1,,
,,,,,,,
  Phase 3 — Express Backend,,,,,,,
,Init Node.js + Express project,"npm init, install express cors dotenv",0.5,Not Started,,,
,Setup PostgreSQL + Prisma,neon.tech free DB + prisma init,1.5,Not Started,,,
,Design DB schema,"Users, ApiKeys, Credits, UsageLogs tables",1.5,Not Started,,,
,Run prisma migrate,"Push schema to DB, verify tables created",0.5,Not Started,,,
,Build JWT auth (register/login),POST /auth/register + /auth/login endpoints,2,Not Started,,,
,Build API key system,"Generate, hash, validate API keys per user",2,Not Started,,,
,Build credit system,Deduct credits per char on each TTS request,2,Not Started,,,
,Integrate Razorpay billing,"Create order, verify payment, top up credits",3,Not Started,,,
,Build proxy route to FastAPI,Express forwards TTS/STT calls to Python server,1.5,Not Started,,,
,Add rate limiting (express-rate-limit),"Prevent abuse, per API key limits",1,Not Started,,,
,Build usage analytics endpoint,"GET /usage → chars used, calls made, credits left",1.5,Not Started,,,
,Add BullMQ job queue,"Queue heavy requests, prevent server overload",2,Not Started,,,
,Write .env config + error handlers,"Clean error responses, env validation",1,Not Started,,,
,Test full backend flow via Postman,Auth → get key → TTS call → credit deducted,2,Not Started,,,
,,,,,,,
  Phase 4 — Next.js Frontend,,,,,,,
,Init Next.js 14 project,"npx create-next-app, add Tailwind + shadcn/ui",1,Not Started,,,
,Build landing page,"Hero, pricing section, feature list, CTA",4,Not Started,,,
,Build auth pages (login/register),"Forms with validation, connect to Express auth",2,Not Started,,,
,Build dashboard layout,"Sidebar nav, header with credit balance",2,Not Started,,,
,Build Voice Studio UI,"Text input, voice selector, generate button, player",4,Not Started,,,
,Build API key manager page,"Create/delete/copy keys, usage per key",2,Not Started,,,
,Build credit & billing page,"Current balance, top-up with Razorpay, history",3,Not Started,,,
,Build usage analytics page,"Charts: chars/day, calls/day, credit burn rate",3,Not Started,,,
,Connect all pages to Express API,"Axios/fetch calls, auth headers, error states",3,Not Started,,,
,Add loading states + error handling,"Skeletons, toasts, retry logic",2,Not Started,,,
,Mobile responsiveness,All pages work on phone/tablet,2,Not Started,,,
,,,,,,,
  Phase 5 — Integration & QA,,,,,,,
,Full E2E flow test,Register → top up → generate TTS → download,2,Not Started,,,
,Voice clone E2E test,Upload audio → clone → generate → verify quality,1.5,Not Started,,,
,STT E2E test,Upload audio → transcript → verify accuracy,1,Not Started,,,
,Credit deduction accuracy test,Verify chars counted correctly per request,1,Not Started,,,
,API key auth test,"Valid key works, invalid rejected, expired handled",1,Not Started,,,
,Load test FastAPI server,"Send 10 concurrent requests, check stability",1.5,Not Started,,,
,Fix bugs from testing,Address all issues found in E2E tests,3,Not Started,,,
,Security review,"Check for exposed secrets, SQL injection, XSS",2,Not Started,,,
,,,,,,,
  Phase 6 — Production Deployment,,,,,,,
,Deploy Next.js to Vercel,"Connect GitHub repo, set env vars, deploy",1,Not Started,,,
,Deploy Express to Railway,"Dockerfile or buildpack, set env vars, test",1.5,Not Started,,,
,Setup Neon PostgreSQL prod DB,"Create prod DB, run migrations, seed data",1,Not Started,,,
,Setup Upstash Redis prod,"Create Redis instance, connect to Express",0.5,Not Started,,,
,Deploy FastAPI to RunPod Serverless,"Push Docker image, configure GPU endpoint",2,Not Started,,,
,Configure RunPod auto-scaling,"Set min/max workers, idle timeout settings",1,Not Started,,,
,Update all env vars for production,"API URLs, secrets, Razorpay live keys",1,Not Started,,,
,Setup custom domain,"Point domain to Vercel, SSL auto-configured",1,Not Started,,,
,Final production smoke test,Full flow on live URL with real Razorpay,1.5,Not Started,,,
,Setup error monitoring (Sentry),Catch prod errors in Express + Next.js,1.5,Not Started,,,
,Go live — share with first users,"Post in communities, get first feedback",1,Not Started,,,
